|dates|Grayson_Virginia_UnitedStates.JHU_ConfirmedCases.data|Grayson_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Grayson_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Grayson_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Grayson_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Grayson_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|21.0|0|0.0|0|0.0|0
0|2020-05-18|21.0|0|0.0|0|0.0|0
0|2020-05-19|21.0|0|0.0|0|0.0|0
0|2020-05-20|22.0|0|0.0|0|0.0|0
0|2020-05-21|22.0|0|0.0|0|0.0|0
0|2020-05-22|24.0|0|0.0|0|0.0|0
0|2020-05-23|24.0|0|0.0|0|0.0|0
