|dates|Henderson_Texas_UnitedStates.JHU_ConfirmedCases.data|Henderson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Henderson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Henderson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Henderson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Henderson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|47.0|0|0.0|0|0.0|0
0|2020-05-15|48.0|0|0.0|0|0.0|0
0|2020-05-16|48.0|0|0.0|0|0.0|0
