|dates|Adams_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Adams_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Adams_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Adams_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Adams_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Adams_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|238.0|0|3.0|0|0.0|0
0|2020-05-15|246.0|0|3.0|0|0.0|0
0|2020-05-16|246.0|0|3.0|0|0.0|0
