|dates|Alexandria_Virginia_UnitedStates.JHU_ConfirmedCases.data|Alexandria_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Alexandria_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Alexandria_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Alexandria_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Alexandria_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1476.0|0|34.0|0|0.0|0
0|2020-05-18|1510.0|0|34.0|0|0.0|0
0|2020-05-19|1544.0|0|34.0|0|0.0|0
0|2020-05-20|1577.0|0|34.0|0|0.0|0
0|2020-05-21|1627.0|0|37.0|0|0.0|0
0|2020-05-22|1657.0|0|37.0|0|0.0|0
0|2020-05-23|1657.0|0|37.0|0|0.0|0
