|dates|Cibola_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Cibola_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Cibola_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Cibola_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Cibola_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Cibola_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|102.0|0|4.0|0|0.0|0
0|2020-05-18|103.0|0|4.0|0|0.0|0
0|2020-05-19|108.0|0|4.0|0|0.0|0
0|2020-05-20|114.0|0|4.0|0|0.0|0
0|2020-05-21|113.0|0|4.0|0|0.0|0
0|2020-05-22|122.0|0|4.0|0|0.0|0
0|2020-05-23|122.0|0|4.0|0|0.0|0
