|dates|Seneca_Ohio_UnitedStates.JHU_ConfirmedCases.data|Seneca_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Seneca_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Seneca_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Seneca_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Seneca_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|19.0|0|2.0|0|0.0|0
0|2020-05-28|19.0|0|2.0|0|0.0|0
0|2020-05-29|19.0|0|2.0|0|0.0|0
0|2020-05-30|19.0|0|2.0|0|0.0|0
