|dates|Chaffee_Colorado_UnitedStates.JHU_ConfirmedCases.data|Chaffee_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Chaffee_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Chaffee_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Chaffee_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Chaffee_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|69.0|0|17.0|0|0.0|0
0|2020-05-18|69.0|0|17.0|0|0.0|0
0|2020-05-19|69.0|0|17.0|0|0.0|0
0|2020-05-20|69.0|0|18.0|0|0.0|0
0|2020-05-21|69.0|0|18.0|0|0.0|0
0|2020-05-22|69.0|0|18.0|0|0.0|0
0|2020-05-23|69.0|0|18.0|0|0.0|0
