|dates|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|72.0|0|66.0|0|0.0|0
0|2020-05-18|72.0|0|123.0|0|0.0|0
0|2020-05-19|72.0|0|123.0|0|0.0|0
0|2020-05-20|72.0|0|123.0|0|0.0|0
0|2020-05-21|78.0|0|123.0|0|0.0|0
0|2020-05-22|103.0|0|162.0|0|0.0|0
0|2020-05-23|103.0|0|162.0|0|0.0|0
