|dates|Manitowoc_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Manitowoc_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Manitowoc_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Manitowoc_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Manitowoc_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Manitowoc_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|22.0|0|1.0|0|0.0|0
0|2020-05-18|22.0|0|1.0|0|0.0|0
0|2020-05-19|25.0|0|1.0|0|0.0|0
0|2020-05-20|26.0|0|1.0|0|0.0|0
0|2020-05-21|28.0|0|1.0|0|0.0|0
0|2020-05-22|28.0|0|1.0|0|0.0|0
0|2020-05-23|28.0|0|1.0|0|0.0|0
