|dates|Montgomery_Maryland_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|10467.0|0|572.0|0|0.0|0
0|2020-05-28|10467.0|0|572.0|0|0.0|0
0|2020-05-29|10467.0|0|572.0|0|0.0|0
0|2020-05-30|10467.0|0|572.0|0|0.0|0
