|dates|Fulton_NewYork_UnitedStates.JHU_ConfirmedCases.data|Fulton_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Fulton_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Fulton_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Fulton_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Fulton_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|144.0|0|0.0|0|0.0|0
0|2020-05-15|145.0|0|14.0|0|0.0|0
0|2020-05-16|145.0|0|14.0|0|0.0|0
