|dates|Richland_Ohio_UnitedStates.JHU_ConfirmedCases.data|Richland_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Richland_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Richland_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Richland_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Richland_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|159.0|0|2.0|0|0.0|0
0|2020-05-18|161.0|0|2.0|0|0.0|0
0|2020-05-19|165.0|0|2.0|0|0.0|0
0|2020-05-20|166.0|0|2.0|0|0.0|0
0|2020-05-21|170.0|0|3.0|0|0.0|0
0|2020-05-22|178.0|0|3.0|0|0.0|0
0|2020-05-23|178.0|0|3.0|0|0.0|0
