|dates|Stone_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Stone_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Stone_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Stone_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Stone_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Stone_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|26.0|0|0.0|0|0.0|0
0|2020-05-15|24.0|0|0.0|0|0.0|0
0|2020-05-16|24.0|0|0.0|0|0.0|0
