|dates|Knox_Ohio_UnitedStates.JHU_ConfirmedCases.data|Knox_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Knox_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Knox_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Knox_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Knox_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|20.0|0|1.0|0|0.0|0
0|2020-05-15|21.0|0|1.0|0|0.0|0
0|2020-05-16|21.0|0|1.0|0|0.0|0
