|dates|Whitley_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Whitley_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Whitley_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Whitley_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Whitley_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Whitley_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|12.0|0|0.0|0|0.0|0
0|2020-05-15|12.0|0|0.0|0|0.0|0
0|2020-05-16|12.0|0|0.0|0|0.0|0
