|dates|Dale_Alabama_UnitedStates.JHU_ConfirmedCases.data|Dale_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Dale_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Dale_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Dale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Dale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|53.0|0|0.0|0|0.0|0
0|2020-05-15|57.0|0|0.0|0|0.0|0
0|2020-05-16|57.0|0|0.0|0|0.0|0
