|dates|Bremer_Iowa_UnitedStates.JHU_ConfirmedCases.data|Bremer_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Bremer_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Bremer_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Bremer_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Bremer_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|62.0|0|5.0|0|0.0|0
0|2020-05-15|63.0|0|5.0|0|0.0|0
0|2020-05-16|63.0|0|5.0|0|0.0|0
