|dates|Smith_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Smith_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Smith_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Smith_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Smith_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Smith_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|24.0|0|1.0|0|0.0|0
0|2020-05-18|25.0|0|1.0|0|0.0|0
0|2020-05-19|29.0|0|1.0|0|0.0|0
0|2020-05-20|29.0|0|1.0|0|0.0|0
0|2020-05-21|29.0|0|1.0|0|0.0|0
0|2020-05-22|29.0|0|1.0|0|0.0|0
0|2020-05-23|29.0|0|1.0|0|0.0|0
