|dates|Monona_Iowa_UnitedStates.JHU_ConfirmedCases.data|Monona_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Monona_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Monona_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Monona_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Monona_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|23.0|0|0.0|0|0.0|0
0|2020-05-25|24.0|0|0.0|0|0.0|0
0|2020-05-26|24.0|0|0.0|0|0.0|0
