|dates|Kern_California_UnitedStates.JHU_ConfirmedCases.data|Kern_California_UnitedStates.JHU_ConfirmedCases.missing|Kern_California_UnitedStates.JHU_ConfirmedDeaths.data|Kern_California_UnitedStates.JHU_ConfirmedDeaths.missing|Kern_California_UnitedStates.JHU_ConfirmedRecoveries.data|Kern_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1515.0|0|25.0|0|0.0|0
0|2020-05-18|1537.0|0|25.0|0|0.0|0
0|2020-05-19|1571.0|0|25.0|0|0.0|0
0|2020-05-20|1605.0|0|25.0|0|0.0|0
0|2020-05-21|1644.0|0|25.0|0|0.0|0
0|2020-05-22|1695.0|0|27.0|0|0.0|0
0|2020-05-23|1695.0|0|27.0|0|0.0|0
