|dates|Grundy_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Grundy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Grundy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|32.0|0|1.0|0|0.0|0
0|2020-05-28|32.0|0|1.0|0|0.0|0
0|2020-05-29|32.0|0|1.0|0|0.0|0
0|2020-05-30|32.0|0|1.0|0|0.0|0
