|dates|Fayette_Georgia_UnitedStates.JHU_ConfirmedCases.data|Fayette_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|220.0|0|11.0|0|0.0|0
0|2020-05-25|221.0|0|13.0|0|0.0|0
0|2020-05-26|221.0|0|13.0|0|0.0|0
