|dates|Huron_Ohio_UnitedStates.JHU_ConfirmedCases.data|Huron_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Huron_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Huron_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Huron_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Huron_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|55.0|0|1.0|0|0.0|0
0|2020-05-28|55.0|0|1.0|0|0.0|0
0|2020-05-29|55.0|0|1.0|0|0.0|0
0|2020-05-30|55.0|0|1.0|0|0.0|0
