|dates|Kings_California_UnitedStates.JHU_ConfirmedCases.data|Kings_California_UnitedStates.JHU_ConfirmedCases.missing|Kings_California_UnitedStates.JHU_ConfirmedDeaths.data|Kings_California_UnitedStates.JHU_ConfirmedDeaths.missing|Kings_California_UnitedStates.JHU_ConfirmedRecoveries.data|Kings_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|399.0|0|2.0|0|0.0|0
0|2020-05-18|399.0|0|2.0|0|0.0|0
0|2020-05-19|416.0|0|2.0|0|0.0|0
0|2020-05-20|416.0|0|2.0|0|0.0|0
0|2020-05-21|457.0|0|2.0|0|0.0|0
0|2020-05-22|488.0|0|2.0|0|0.0|0
0|2020-05-23|488.0|0|2.0|0|0.0|0
