|dates|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|27.0|0|1.0|0|0.0|0
0|2020-05-18|27.0|0|1.0|0|0.0|0
0|2020-05-19|27.0|0|1.0|0|0.0|0
0|2020-05-20|30.0|0|1.0|0|0.0|0
0|2020-05-21|30.0|0|1.0|0|0.0|0
0|2020-05-22|30.0|0|1.0|0|0.0|0
0|2020-05-23|30.0|0|1.0|0|0.0|0
