|dates|Greene_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Greene_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Greene_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|48.0|0|2.0|0|0.0|0
0|2020-05-25|47.0|0|2.0|0|0.0|0
0|2020-05-26|47.0|0|2.0|0|0.0|0
