|dates|Mercer_Ohio_UnitedStates.JHU_ConfirmedCases.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Mercer_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|184.0|0|3.0|0|0.0|0
0|2020-05-25|190.0|0|3.0|0|0.0|0
0|2020-05-26|190.0|0|3.0|0|0.0|0
