|dates|SantaRosa_Florida_UnitedStates.JHU_ConfirmedCases.data|SantaRosa_Florida_UnitedStates.JHU_ConfirmedCases.missing|SantaRosa_Florida_UnitedStates.JHU_ConfirmedDeaths.data|SantaRosa_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|SantaRosa_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|SantaRosa_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|207.0|0|9.0|0|0.0|0
0|2020-05-25|208.0|0|9.0|0|0.0|0
0|2020-05-26|208.0|0|9.0|0|0.0|0
