|dates|Franklin_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Franklin_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|288.0|0|10.0|0|0.0|0
0|2020-05-25|294.0|0|10.0|0|0.0|0
0|2020-05-26|294.0|0|10.0|0|0.0|0
