|dates|Monroe_Iowa_UnitedStates.JHU_ConfirmedCases.data|Monroe_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Monroe_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|35.0|0|4.0|0|0.0|0
0|2020-05-28|35.0|0|4.0|0|0.0|0
0|2020-05-29|35.0|0|4.0|0|0.0|0
0|2020-05-30|35.0|0|4.0|0|0.0|0
