|dates|Mayes_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Mayes_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Mayes_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Mayes_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Mayes_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Mayes_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|30.0|0|4.0|0|0.0|0
0|2020-05-28|30.0|0|4.0|0|0.0|0
0|2020-05-29|30.0|0|4.0|0|0.0|0
0|2020-05-30|30.0|0|4.0|0|0.0|0
