|dates|Wilson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Wilson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Wilson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Wilson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Wilson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Wilson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|318.0|0|8.0|0|0.0|0
0|2020-05-18|327.0|0|8.0|0|0.0|0
0|2020-05-19|338.0|0|8.0|0|0.0|0
0|2020-05-20|338.0|0|8.0|0|0.0|0
0|2020-05-21|344.0|0|8.0|0|0.0|0
0|2020-05-22|343.0|0|8.0|0|0.0|0
0|2020-05-23|343.0|0|8.0|0|0.0|0
