|dates|Carroll_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Carroll_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Carroll_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|25.0|0|1.0|0|0.0|0
0|2020-05-18|25.0|0|1.0|0|0.0|0
0|2020-05-19|25.0|0|1.0|0|0.0|0
0|2020-05-20|25.0|0|1.0|0|0.0|0
0|2020-05-21|26.0|0|1.0|0|0.0|0
0|2020-05-22|26.0|0|1.0|0|0.0|0
0|2020-05-23|26.0|0|1.0|0|0.0|0
