|dates|Itawamba_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Itawamba_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Itawamba_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Itawamba_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Itawamba_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Itawamba_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|73.0|0|7.0|0|0.0|0
0|2020-05-15|75.0|0|7.0|0|0.0|0
0|2020-05-16|75.0|0|7.0|0|0.0|0
