|dates|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|13.0|0|0.0|0|0.0|0
0|2020-05-25|13.0|0|0.0|0|0.0|0
0|2020-05-26|13.0|0|0.0|0|0.0|0
