|dates|Kaufman_Texas_UnitedStates.JHU_ConfirmedCases.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedCases.missing|Kaufman_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Kaufman_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|147.0|0|1.0|0|0.0|0
0|2020-05-18|147.0|0|1.0|0|0.0|0
0|2020-05-19|155.0|0|2.0|0|0.0|0
0|2020-05-20|165.0|0|2.0|0|0.0|0
0|2020-05-21|173.0|0|2.0|0|0.0|0
0|2020-05-22|173.0|0|2.0|0|0.0|0
0|2020-05-23|173.0|0|2.0|0|0.0|0
