|dates|Williamson_Texas_UnitedStates.JHU_ConfirmedCases.data|Williamson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Williamson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Williamson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Williamson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Williamson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|481.0|0|19.0|0|0.0|0
0|2020-05-18|486.0|0|19.0|0|0.0|0
0|2020-05-19|501.0|0|20.0|0|0.0|0
0|2020-05-20|513.0|0|20.0|0|0.0|0
0|2020-05-21|520.0|0|20.0|0|0.0|0
0|2020-05-22|528.0|0|21.0|0|0.0|0
0|2020-05-23|528.0|0|21.0|0|0.0|0
