|dates|Uintah_Utah_UnitedStates.JHU_ConfirmedCases.data|Uintah_Utah_UnitedStates.JHU_ConfirmedCases.missing|Uintah_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Uintah_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Uintah_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Uintah_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|6.0|0|0.0|0|0.0|0
0|2020-05-25|6.0|0|0.0|0|0.0|0
0|2020-05-26|6.0|0|0.0|0|0.0|0
