|dates|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Lancaster_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|124.0|0|5.0|0|0.0|0
0|2020-05-28|124.0|0|5.0|0|0.0|0
0|2020-05-29|124.0|0|5.0|0|0.0|0
0|2020-05-30|124.0|0|5.0|0|0.0|0
