|dates|Benton_Iowa_UnitedStates.JHU_ConfirmedCases.data|Benton_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Benton_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|36.0|0|1.0|0|0.0|0
0|2020-05-15|37.0|0|1.0|0|0.0|0
0|2020-05-16|37.0|0|1.0|0|0.0|0
