|dates|IndianRiver_Florida_UnitedStates.JHU_ConfirmedCases.data|IndianRiver_Florida_UnitedStates.JHU_ConfirmedCases.missing|IndianRiver_Florida_UnitedStates.JHU_ConfirmedDeaths.data|IndianRiver_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|IndianRiver_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|IndianRiver_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|103.0|0|9.0|0|0.0|0
0|2020-05-15|104.0|0|9.0|0|0.0|0
0|2020-05-16|104.0|0|9.0|0|0.0|0
