|dates|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedCases.data|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|48.0|0|7.0|0|0.0|0
0|2020-05-28|48.0|0|7.0|0|0.0|0
0|2020-05-29|48.0|0|7.0|0|0.0|0
0|2020-05-30|48.0|0|7.0|0|0.0|0
