|dates|Quitman_Georgia_UnitedStates.JHU_ConfirmedCases.data|Quitman_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Quitman_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Quitman_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Quitman_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Quitman_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|8.0|0|1.0|0|0.0|0
0|2020-05-18|8.0|0|1.0|0|0.0|0
0|2020-05-19|8.0|0|1.0|0|0.0|0
0|2020-05-20|8.0|0|1.0|0|0.0|0
0|2020-05-21|8.0|0|1.0|0|0.0|0
0|2020-05-22|10.0|0|1.0|0|0.0|0
0|2020-05-23|10.0|0|1.0|0|0.0|0
