|dates|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|29.0|0|2.0|0|0.0|0
0|2020-05-25|32.0|0|2.0|0|0.0|0
0|2020-05-26|32.0|0|2.0|0|0.0|0
