|dates|Trumbull_Ohio_UnitedStates.JHU_ConfirmedCases.data|Trumbull_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Trumbull_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Trumbull_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Trumbull_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Trumbull_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|450.0|0|38.0|0|0.0|0
0|2020-05-18|461.0|0|39.0|0|0.0|0
0|2020-05-19|469.0|0|39.0|0|0.0|0
0|2020-05-20|478.0|0|39.0|0|0.0|0
0|2020-05-21|499.0|0|40.0|0|0.0|0
0|2020-05-22|507.0|0|40.0|0|0.0|0
0|2020-05-23|507.0|0|40.0|0|0.0|0
