|dates|Pima_Arizona_UnitedStates.JHU_ConfirmedCases.data|Pima_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Pima_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Pima_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Pima_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Pima_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1814.0|0|157.0|0|0.0|0
0|2020-05-18|1825.0|0|157.0|0|0.0|0
0|2020-05-19|1888.0|0|158.0|0|0.0|0
0|2020-05-20|1903.0|0|167.0|0|0.0|0
0|2020-05-21|1944.0|0|174.0|0|0.0|0
0|2020-05-22|1974.0|0|174.0|0|0.0|0
0|2020-05-23|1974.0|0|174.0|0|0.0|0
