|dates|Johnson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Johnson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|15.0|0|0.0|0|0.0|0
0|2020-05-18|15.0|0|0.0|0|0.0|0
0|2020-05-19|15.0|0|0.0|0|0.0|0
0|2020-05-20|15.0|0|0.0|0|0.0|0
0|2020-05-21|15.0|0|0.0|0|0.0|0
0|2020-05-22|15.0|0|0.0|0|0.0|0
0|2020-05-23|15.0|0|0.0|0|0.0|0
