|dates|Mahaska_Iowa_UnitedStates.JHU_ConfirmedCases.data|Mahaska_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Mahaska_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Mahaska_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Mahaska_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Mahaska_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|24.0|0|1.0|0|0.0|0
0|2020-05-18|29.0|0|1.0|0|0.0|0
0|2020-05-19|37.0|0|1.0|0|0.0|0
0|2020-05-20|45.0|0|2.0|0|0.0|0
0|2020-05-21|47.0|0|2.0|0|0.0|0
0|2020-05-22|48.0|0|4.0|0|0.0|0
0|2020-05-23|48.0|0|4.0|0|0.0|0
