|dates|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Choctaw_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|22.0|0|2.0|0|0.0|0
0|2020-05-18|23.0|0|2.0|0|0.0|0
0|2020-05-19|23.0|0|2.0|0|0.0|0
0|2020-05-20|24.0|0|2.0|0|0.0|0
0|2020-05-21|27.0|0|2.0|0|0.0|0
0|2020-05-22|29.0|0|2.0|0|0.0|0
0|2020-05-23|29.0|0|2.0|0|0.0|0
