|dates|Nobles_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Nobles_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Nobles_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Nobles_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Nobles_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Nobles_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1361.0|0|2.0|0|0.0|0
0|2020-05-18|1387.0|0|2.0|0|0.0|0
0|2020-05-19|1394.0|0|2.0|0|0.0|0
0|2020-05-20|1396.0|0|2.0|0|0.0|0
0|2020-05-21|1414.0|0|2.0|0|0.0|0
0|2020-05-22|1432.0|0|2.0|0|0.0|0
0|2020-05-23|1432.0|0|2.0|0|0.0|0
