|dates|Nemaha_Kansas_UnitedStates.JHU_ConfirmedCases.data|Nemaha_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Nemaha_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Nemaha_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Nemaha_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Nemaha_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|13.0|0|0.0|0|0.0|0
0|2020-05-25|13.0|0|0.0|0|0.0|0
0|2020-05-26|13.0|0|0.0|0|0.0|0
