|dates|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|9.0|0|0.0|0|0.0|0
0|2020-05-18|9.0|0|0.0|0|0.0|0
0|2020-05-19|9.0|0|1.0|0|0.0|0
0|2020-05-20|9.0|0|1.0|0|0.0|0
0|2020-05-21|10.0|0|1.0|0|0.0|0
0|2020-05-22|11.0|0|1.0|0|0.0|0
0|2020-05-23|11.0|0|1.0|0|0.0|0
