|dates|Wright_Missouri_UnitedStates.JHU_ConfirmedCases.data|Wright_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Wright_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Wright_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Wright_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Wright_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|11.0|0|0.0|0|0.0|0
0|2020-05-28|11.0|0|0.0|0|0.0|0
0|2020-05-29|11.0|0|0.0|0|0.0|0
0|2020-05-30|11.0|0|0.0|0|0.0|0
