|dates|Clackamas_Oregon_UnitedStates.JHU_ConfirmedCases.data|Clackamas_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Clackamas_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Clackamas_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Clackamas_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Clackamas_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|290.0|0|10.0|0|0.0|0
0|2020-05-25|294.0|0|10.0|0|0.0|0
0|2020-05-26|294.0|0|10.0|0|0.0|0
