|dates|Brown_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Brown_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Brown_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|11.0|0|2.0|0|0.0|0
0|2020-05-25|12.0|0|2.0|0|0.0|0
0|2020-05-26|12.0|0|2.0|0|0.0|0
