|dates|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|19.0|0|0.0|0|0.0|0
0|2020-05-15|21.0|0|0.0|0|0.0|0
0|2020-05-16|21.0|0|0.0|0|0.0|0
