|dates|Roberts_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Roberts_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Roberts_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Roberts_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Roberts_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Roberts_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|35.0|0|0.0|0|0.0|0
0|2020-05-25|35.0|0|0.0|0|0.0|0
0|2020-05-26|35.0|0|0.0|0|0.0|0
