|dates|McNairy_Tennessee_UnitedStates.JHU_ConfirmedCases.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|McNairy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|McNairy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|12.0|0|0.0|0|0.0|0
0|2020-05-25|12.0|0|0.0|0|0.0|0
0|2020-05-26|12.0|0|0.0|0|0.0|0
