|dates|Blount_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Blount_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Blount_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Blount_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Blount_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Blount_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|82.0|0|3.0|0|0.0|0
0|2020-05-25|82.0|0|3.0|0|0.0|0
0|2020-05-26|82.0|0|3.0|0|0.0|0
