|dates|Hampshire_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Hampshire_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Hampshire_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Hampshire_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Hampshire_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Hampshire_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|830.0|0|78.0|0|0.0|0
0|2020-05-25|834.0|0|80.0|0|0.0|0
0|2020-05-26|834.0|0|80.0|0|0.0|0
