|dates|Tate_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Tate_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Tate_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Tate_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Tate_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Tate_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|59.0|0|1.0|0|0.0|0
0|2020-05-25|59.0|0|1.0|0|0.0|0
0|2020-05-26|59.0|0|1.0|0|0.0|0
