|dates|Wheeler_Georgia_UnitedStates.JHU_ConfirmedCases.data|Wheeler_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Wheeler_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Wheeler_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Wheeler_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Wheeler_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|9.0|0|0.0|0|0.0|0
0|2020-05-25|9.0|0|0.0|0|0.0|0
0|2020-05-26|9.0|0|0.0|0|0.0|0
