|dates|Henry_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Henry_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Henry_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|29.0|0|0.0|0|0.0|0
0|2020-05-25|29.0|0|0.0|0|0.0|0
0|2020-05-26|29.0|0|0.0|0|0.0|0
