|dates|Dodge_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Dodge_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Dodge_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Dodge_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Dodge_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Dodge_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|242.0|0|0.0|0|0.0|0
0|2020-05-18|266.0|0|0.0|0|0.0|0
0|2020-05-19|274.0|0|0.0|0|0.0|0
0|2020-05-20|282.0|0|1.0|0|0.0|0
0|2020-05-21|295.0|0|1.0|0|0.0|0
0|2020-05-22|314.0|0|1.0|0|0.0|0
0|2020-05-23|314.0|0|1.0|0|0.0|0
